dataset,model,seed,alpha,n_calibration,n_test_samples,n_test_anomalies,variant,fdr,fdr_std,power,power_std,n_discoveries,discoveries_std,discovery_rate,discovery_rate_std
LYMPHOGRAPHY,COPOD,11,0.100000,64,30,2,kde,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,11,0.100000,64,30,2,kde_weighted_bh,0.333333,,1.000000,,3,,0.100000,
LYMPHOGRAPHY,COPOD,11,0.100000,64,30,2,kde_wcs_dtm,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,11,0.100000,64,30,2,kde_wcs_homo,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,11,0.100000,64,30,2,kde_wcs_hete,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,kde,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,kde_weighted_bh,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,kde_wcs_dtm,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,kde_wcs_homo,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,12,0.100000,64,30,2,kde_wcs_hete,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,kde,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,kde_weighted_bh,0.500000,,1.000000,,4,,0.133333,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,kde_wcs_dtm,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,kde_wcs_homo,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,13,0.100000,64,30,2,kde_wcs_hete,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,kde,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,kde_weighted_bh,0.333333,,1.000000,,3,,0.100000,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,kde_wcs_dtm,0.333333,,1.000000,,3,,0.100000,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,kde_wcs_homo,0.333333,,1.000000,,3,,0.100000,
LYMPHOGRAPHY,COPOD,14,0.100000,64,30,2,kde_wcs_hete,0.333333,,1.000000,,3,,0.100000,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,kde,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,kde_weighted_bh,0.500000,,1.000000,,4,,0.133333,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,kde_wcs_dtm,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,kde_wcs_homo,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,15,0.100000,64,30,2,kde_wcs_hete,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,kde,0.600000,,1.000000,,5,,0.166667,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,kde_weighted_bh,0.500000,,1.000000,,4,,0.133333,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,kde_wcs_dtm,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,kde_wcs_homo,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,16,0.100000,64,30,2,kde_wcs_hete,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,kde,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,kde_weighted_bh,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,kde_wcs_dtm,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,kde_wcs_homo,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,17,0.100000,64,30,2,kde_wcs_hete,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,kde,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,kde_weighted_bh,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,kde_wcs_dtm,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,kde_wcs_homo,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,18,0.100000,64,30,2,kde_wcs_hete,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,kde,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,19,0.100000,64,30,2,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,kde,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,kde_weighted_bh,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,kde_wcs_dtm,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,kde_wcs_homo,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,20,0.100000,64,30,2,kde_wcs_hete,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,empirical,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,empirical_weighted_bh,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,empirical_wcs_dtm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,empirical_wcs_homo,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,empirical_wcs_hete,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,kde,0.205000,0.251942,0.525000,0.192029,1.600000,1.113553,0.053333,0.037118
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,kde_weighted_bh,0.238333,0.226881,0.750000,0.335410,2.300000,1.345362,0.076667,0.044845
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,kde_wcs_dtm,0.208333,0.234965,0.575000,0.286138,1.600000,0.800000,0.053333,0.026667
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,kde_wcs_homo,0.208333,0.234965,0.575000,0.286138,1.600000,0.800000,0.053333,0.026667
LYMPHOGRAPHY,COPOD,MEAN,0.100000,,,,kde_wcs_hete,0.208333,0.234965,0.575000,0.286138,1.600000,0.800000,0.053333,0.026667
