dataset,model,seed,alpha,n_calibration,n_test_samples,n_test_anomalies,variant,fdr,fdr_std,power,power_std,n_discoveries,discoveries_std,discovery_rate,discovery_rate_std
BREAST,IForest,15,0.100000,41,19,1,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,empirical,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,kde,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,16,0.100000,41,19,1,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,empirical,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,kde,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,17,0.100000,41,19,1,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,empirical,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,kde,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,18,0.100000,41,19,1,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,empirical,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,kde,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,19,0.100000,41,19,1,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,20,0.100000,41,19,1,empirical,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,20,0.100000,41,19,1,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,20,0.100000,41,19,1,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,20,0.100000,41,19,1,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,20,0.100000,41,19,1,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,20,0.100000,41,19,1,kde,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,20,0.100000,41,19,1,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,20,0.100000,41,19,1,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,20,0.100000,41,19,1,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
