dataset,model,seed,alpha,n_calibration,n_test_samples,n_test_anomalies,variant,fdr,fdr_std,power,power_std,n_discoveries,discoveries_std,discovery_rate,discovery_rate_std
WBC,IForest,6,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,6,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,6,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,6,0.100000,96,45,3,kde,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,6,0.100000,96,45,3,kde_weighted_bh,0.000000,,1.000000,,3,,0.066667,
WBC,IForest,6,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,6,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,6,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,7,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,7,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,7,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,7,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,7,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,7,0.100000,96,45,3,kde,0.250000,,1.000000,,4,,0.088889,
WBC,IForest,7,0.100000,96,45,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,7,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,7,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,7,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,kde,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,8,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,9,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,9,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,9,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,9,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,9,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,9,0.100000,96,45,3,kde,0.000000,,0.333333,,1,,0.022222,
WBC,IForest,9,0.100000,96,45,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,9,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,9,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,9,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,10,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,10,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,10,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,10,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,10,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,10,0.100000,96,45,3,kde,0.250000,,1.000000,,4,,0.088889,
WBC,IForest,10,0.100000,96,45,3,kde_weighted_bh,0.250000,,1.000000,,4,,0.088889,
WBC,IForest,10,0.100000,96,45,3,kde_wcs_dtm,0.000000,,1.000000,,3,,0.066667,
WBC,IForest,10,0.100000,96,45,3,kde_wcs_homo,0.000000,,1.000000,,3,,0.066667,
WBC,IForest,10,0.100000,96,45,3,kde_wcs_hete,0.000000,,1.000000,,3,,0.066667,
WBC,IForest,11,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,11,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,11,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,11,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,11,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,11,0.100000,96,45,3,kde,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,11,0.100000,96,45,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,11,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,11,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,11,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,kde,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,12,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,kde,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,13,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,kde,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,14,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,15,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,15,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,15,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,15,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,15,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,15,0.100000,96,45,3,kde,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,15,0.100000,96,45,3,kde_weighted_bh,0.000000,,1.000000,,3,,0.066667,
WBC,IForest,15,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,15,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,15,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,16,0.100000,96,45,3,empirical,0.400000,,1.000000,,5,,0.111111,
WBC,IForest,16,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,16,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,16,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,16,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,16,0.100000,96,45,3,kde,0.400000,,1.000000,,5,,0.111111,
WBC,IForest,16,0.100000,96,45,3,kde_weighted_bh,0.400000,,1.000000,,5,,0.111111,
WBC,IForest,16,0.100000,96,45,3,kde_wcs_dtm,0.250000,,1.000000,,4,,0.088889,
WBC,IForest,16,0.100000,96,45,3,kde_wcs_homo,0.250000,,1.000000,,4,,0.088889,
WBC,IForest,16,0.100000,96,45,3,kde_wcs_hete,0.250000,,1.000000,,4,,0.088889,
WBC,IForest,17,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,17,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,17,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,17,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,17,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,17,0.100000,96,45,3,kde,0.250000,,1.000000,,4,,0.088889,
WBC,IForest,17,0.100000,96,45,3,kde_weighted_bh,0.250000,,1.000000,,4,,0.088889,
WBC,IForest,17,0.100000,96,45,3,kde_wcs_dtm,0.000000,,1.000000,,3,,0.066667,
WBC,IForest,17,0.100000,96,45,3,kde_wcs_homo,0.000000,,1.000000,,3,,0.066667,
WBC,IForest,17,0.100000,96,45,3,kde_wcs_hete,0.000000,,1.000000,,3,,0.066667,
WBC,IForest,18,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,18,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,18,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,18,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
