dataset,model,seed,alpha,n_calibration,n_test_samples,n_test_anomalies,variant,fdr,fdr_std,power,power_std,n_discoveries,discoveries_std,discovery_rate,discovery_rate_std
WBC,IForest,18,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,18,0.100000,96,45,3,kde,0.000000,,0.333333,,1,,0.022222,
WBC,IForest,18,0.100000,96,45,3,kde_weighted_bh,0.000000,,1.000000,,3,,0.066667,
WBC,IForest,18,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.333333,,1,,0.022222,
WBC,IForest,18,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.333333,,1,,0.022222,
WBC,IForest,18,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.333333,,1,,0.022222,
WBC,IForest,19,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,19,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,19,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,19,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,19,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,19,0.100000,96,45,3,kde,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,19,0.100000,96,45,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,19,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,19,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,19,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,empirical,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,kde,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,20,0.100000,96,45,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
WBC,IForest,MEAN,0.100000,,,,empirical,0.060000,0.142829,0.150000,0.357071,0.750000,1.785357,0.016667,0.039675
WBC,IForest,MEAN,0.100000,,,,empirical_weighted_bh,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
WBC,IForest,MEAN,0.100000,,,,empirical_wcs_dtm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
WBC,IForest,MEAN,0.100000,,,,empirical_wcs_homo,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
WBC,IForest,MEAN,0.100000,,,,empirical_wcs_hete,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
WBC,IForest,MEAN,0.100000,,,,kde,0.110000,0.156205,0.400000,0.454606,1.700000,2.051828,0.037778,0.045596
WBC,IForest,MEAN,0.100000,,,,kde_weighted_bh,0.097500,0.154495,0.466667,0.487625,1.850000,2.031625,0.041111,0.045147
WBC,IForest,MEAN,0.100000,,,,kde_wcs_dtm,0.050000,0.100000,0.333333,0.447214,1.200000,1.661325,0.026667,0.036918
WBC,IForest,MEAN,0.100000,,,,kde_wcs_homo,0.050000,0.100000,0.333333,0.447214,1.200000,1.661325,0.026667,0.036918
WBC,IForest,MEAN,0.100000,,,,kde_wcs_hete,0.050000,0.100000,0.333333,0.447214,1.200000,1.661325,0.026667,0.036918
