summary_version,scenario,diagnostic,kappa,bin,x_left,x_right,x,successes,count,probability
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,inf,25,1.1764705882352944,1.323529411764706,1.2492539219029817,10771.0,65312.0,0.16491609505144536
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,23,0.8823529411764706,1.0294117647058822,0.9551968341516879,2662.0,65118.0,0.04087963389538991
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.0,25,1.1764705882352944,1.323529411764706,1.2492539219029817,1764.0,65312.0,0.027008819206271434
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,23,0.8823529411764706,1.0294117647058822,0.9551968341516879,780.0,65118.0,0.01197825486040726
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.5,25,1.1764705882352944,1.323529411764706,1.2492539219029817,3624.0,65312.0,0.0554875061244488
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,23,0.8823529411764706,1.0294117647058822,0.9551968341516879,1019.0,65118.0,0.015648515003532048
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.0,25,1.1764705882352944,1.323529411764706,1.2492539219029817,5379.0,65312.0,0.08235852523272906
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.0,23,0.8823529411764706,1.0294117647058822,0.9551968341516879,1224.0,65118.0,0.018796646088639086
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.5,25,1.1764705882352944,1.323529411764706,1.2492539219029817,6668.0,65312.0,0.10209456148946595
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.5,23,0.8823529411764706,1.0294117647058822,0.9551968341516879,1349.0,65118.0,0.02071623821370435
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,4.0,25,1.1764705882352944,1.323529411764706,1.2492539219029817,7455.0,65312.0,0.11414441450269476
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,4.0,23,0.8823529411764706,1.0294117647058822,0.9551968341516879,1428.0,65118.0,0.0219294204367456
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,inf,26,1.323529411764706,1.4705882352941178,1.3960383306036437,8139.0,59001.0,0.13794681446077184
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.0,26,1.323529411764706,1.4705882352941178,1.3960383306036437,1080.0,59001.0,0.018304774495347537
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.5,26,1.323529411764706,1.4705882352941178,1.3960383306036437,2350.0,59001.0,0.03982983339265436
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.0,26,1.323529411764706,1.4705882352941178,1.3960383306036437,3707.0,59001.0,0.06282944356875307
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.5,26,1.323529411764706,1.4705882352941178,1.3960383306036437,4801.0,59001.0,0.08137150217792918
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,4.0,26,1.323529411764706,1.4705882352941178,1.3960383306036437,5465.0,59001.0,0.09262554871951323
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,inf,27,1.4705882352941178,1.6176470588235299,1.5426539349166404,5724.0,52146.0,0.10976872626855368
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.0,27,1.4705882352941178,1.6176470588235299,1.5426539349166404,600.0,52146.0,0.011506155793349442
