export_version,figure,panel,panel_title,plot_order,group,method,scenario,kappa,m,x,y,x_left,x_right,value,probability,count,style_key,label
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,1.2492539219029817,0.16491609505144536,1.1764705882352944,1.323529411764706,0.16491609505144536,0.16491609505144536,65312.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,1.2492539219029817,0.027008819206271434,1.1764705882352944,1.323529411764706,0.027008819206271434,0.027008819206271434,65312.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,1.2492539219029817,0.0554875061244488,1.1764705882352944,1.323529411764706,0.0554875061244488,0.0554875061244488,65312.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,1.2492539219029817,0.08235852523272906,1.1764705882352944,1.323529411764706,0.08235852523272906,0.08235852523272906,65312.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,1.2492539219029817,0.10209456148946595,1.1764705882352944,1.323529411764706,0.10209456148946595,0.10209456148946595,65312.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,1.2492539219029817,0.11414441450269476,1.1764705882352944,1.323529411764706,0.11414441450269476,0.11414441450269476,65312.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,1.3960383306036437,0.13794681446077184,1.323529411764706,1.4705882352941178,0.13794681446077184,0.13794681446077184,59001.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,1.3960383306036437,0.018304774495347537,1.323529411764706,1.4705882352941178,0.018304774495347537,0.018304774495347537,59001.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,1.3960383306036437,0.03982983339265436,1.323529411764706,1.4705882352941178,0.03982983339265436,0.03982983339265436,59001.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,1.3960383306036437,0.06282944356875307,1.323529411764706,1.4705882352941178,0.06282944356875307,0.06282944356875307,59001.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,1.3960383306036437,0.08137150217792918,1.323529411764706,1.4705882352941178,0.08137150217792918,0.08137150217792918,59001.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,1.3960383306036437,0.09262554871951323,1.323529411764706,1.4705882352941178,0.09262554871951323,0.09262554871951323,59001.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,1.5426539349166404,0.10976872626855368,1.4705882352941178,1.6176470588235299,0.10976872626855368,0.10976872626855368,52146.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,1.5426539349166404,0.011506155793349442,1.4705882352941178,1.6176470588235299,0.011506155793349442,0.011506155793349442,52146.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,1.5426539349166404,0.026751812219537454,1.4705882352941178,1.6176470588235299,0.026751812219537454,0.026751812219537454,52146.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,1.5426539349166404,0.04617803858397576,1.4705882352941178,1.6176470588235299,0.04617803858397576,0.04617803858397576,52146.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,1.5426539349166404,0.06217159513673148,1.4705882352941178,1.6176470588235299,0.06217159513673148,0.06217159513673148,52146.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,1.5426539349166404,0.07172170444521152,1.4705882352941178,1.6176470588235299,0.07172170444521152,0.07172170444521152,52146.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,1.6894147020157237,0.088930224318519,1.6176470588235299,1.7647058823529411,0.088930224318519,0.088930224318519,45159.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,1.6894147020157237,0.007772537035806816,1.6176470588235299,1.7647058823529411,0.007772537035806816,0.007772537035806816,45159.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,1.6894147020157237,0.018180207710533892,1.6176470588235299,1.7647058823529411,0.018180207710533892,0.018180207710533892,45159.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,1.6894147020157237,0.03306096237737771,1.6176470588235299,1.7647058823529411,0.03306096237737771,0.03306096237737771,45159.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,1.6894147020157237,0.047166677738656744,1.6176470588235299,1.7647058823529411,0.047166677738656744,0.047166677738656744,45159.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,1.6894147020157237,0.05509422263557652,1.6176470588235299,1.7647058823529411,0.05509422263557652,0.05509422263557652,45159.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,1.8361142666048036,0.06843938448741942,1.7647058823529411,1.9117647058823533,0.06843938448741942,0.06843938448741942,38472.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,1.8361142666048036,0.005120607194843003,1.7647058823529411,1.9117647058823533,0.005120607194843003,0.005120607194843003,38472.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,1.8361142666048036,0.012424620503223124,1.7647058823529411,1.9117647058823533,0.012424620503223124,0.012424620503223124,38472.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,1.8361142666048036,0.023965481389062175,1.7647058823529411,1.9117647058823533,0.023965481389062175,0.023965481389062175,38472.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,1.8361142666048036,0.035402370555208985,1.7647058823529411,1.9117647058823533,0.035402370555208985,0.035402370555208985,38472.0,kappa_3.5,$\log_{10}\delta$
