summary_version,phase_x_bin,phase_y_bin,x_left,x_right,y_bottom,y_top,x,y,alpha,pi1,m,mean_n_cal,mean_rho,count,n_anomaly,calib_ess,max_normalized_calib_weight,p_min_anom,delta_min,rank_delta,certified_no_first_discovery,certified_no_rank_discovery,log10_m_over_alpha,log10_inverse_p_min,log10_delta_min,log10_rank_delta,auroc,perfect_separation_from_calibration,anomalies_exceed_all_inliers,exact_any_discovery,exact_power,exact_fdr,randomized_any_discovery,randomized_power,randomized_fdr,oracle_any_discovery,oracle_power,oracle_fdr
perfect-score-v2,0,0,2.25,2.4583333333333335,2.25,2.4583333333333335,2.354166666666667,2.354166666666667,0.1,0.05,23,171.28,1.195,100,1.0,77.71347837615863,0.13200128545426554,0.0046587247521712,1.071506692999376,1.071506692999376,0.66,0.66,2.361727836017593,2.33574415279114,0.02598368322645335,0.02598368322645335,0.999090909090909,True,False,0.38,0.38,0.043,0.9,0.9,0.10023809523809524,1.0,1.0,0.07916666666666666
perfect-score-v2,0,1,2.25,2.4583333333333335,2.4583333333333335,2.6666666666666665,2.354166666666667,2.5625,0.1,0.05,23,265.17,1.165,100,1.0,127.46411343927193,0.11640262568302907,0.002844089372438679,0.6541405556608961,0.6541405556608961,0.0,0.0,2.361727836017593,2.55042861380096,-0.18870077778336722,-0.18870077778336722,1.0,True,True,1.0,1.0,0.0875,1.0,1.0,0.10583333333333332,1.0,1.0,0.13
perfect-score-v2,0,2,2.25,2.4583333333333335,2.6666666666666665,2.875,2.354166666666667,2.770833333333333,0.1,0.05,23,410.34,1.195,100,1.0,190.88426283029773,0.1001375446483104,0.0017177571886650303,0.39508415339295694,0.39508415339295694,0.0,0.0,2.361727836017593,2.7689429738448252,-0.4072151378272325,-0.4072151378272325,1.0,True,True,1.0,1.0,0.056666666666666664,1.0,1.0,0.0925,1.0,1.0,0.08
perfect-score-v2,0,3,2.25,2.4583333333333335,2.875,3.0833333333333335,2.354166666666667,2.979166666666667,0.1,0.05,23,777.31,1.13,100,1.0,369.73301777079143,0.06993820885402297,0.0010857403898037288,0.24972028965485762,0.24972028965485762,0.0,0.0,2.361727836017593,2.9678392521315,-0.6061114161139064,-0.6061114161139064,0.9995454545454545,True,False,1.0,1.0,0.09133333333333332,1.0,1.0,0.13133333333333333,1.0,1.0,0.12416666666666666
perfect-score-v2,0,4,2.25,2.4583333333333335,3.0833333333333335,3.291666666666667,2.354166666666667,3.1875,0.1,0.05,23,1264.41,1.115,100,1.0,587.0175776135312,0.05602305205024024,0.0006631565629315765,0.15252600947426256,0.15252600947426256,0.0,0.0,2.361727836017593,3.1821947957488805,-0.8204669597312876,-0.8204669597312876,1.0,True,True,1.0,1.0,0.08916666666666666,1.0,1.0,0.09345238095238095,1.0,1.0,0.08916666666666666
perfect-score-v2,0,5,2.25,2.4583333333333335,3.291666666666667,3.5,2.354166666666667,3.3958333333333335,0.1,0.05,23,1942.49,1.16,100,1.0,858.0010774883266,0.04320844263849533,0.00041487841269451667,0.09542203491973889,0.09542203491973889,0.0,0.0,2.361727836017593,3.3862873165564826,-1.0245594805388891,-1.0245594805388891,1.0,True,True,1.0,1.0,0.1025,1.0,1.0,0.1175,1.0,1.0,0.11333333333333333
perfect-score-v2,0,6,2.25,2.4583333333333335,3.5,3.7083333333333335,2.354166666666667,3.604166666666667,0.1,0.05,23,3138.03,1.185,100,1.0,1469.0765090776797,0.05039919566420591,0.00025532045174280637,0.05872370390084548,0.05872370390084548,0.0,0.0,2.361727836017593,3.5969394196932076,-1.2352115836756143,-1.2352115836756143,0.9995454545454545,True,False,1.0,1.0,0.11166666666666666,1.0,1.0,0.1183333333333333,1.0,1.0,0.10833333333333332
perfect-score-v2,0,7,2.25,2.4583333333333335,3.7083333333333335,3.916666666666667,2.354166666666667,3.8125,0.1,0.05,23,5090.35,1.225,100,1.0,2251.0253090874635,0.036371245482788785,0.00015720099603135757,0.03615622908721225,0.03615622908721225,0.0,0.0,2.361727836017593,3.8073565017255278,-1.4456286657079347,-1.4456286657079347,1.0,True,True,1.0,1.0,0.12166666666666666,1.0,1.0,0.1225,1.0,1.0,0.13583333333333333
perfect-score-v2,0,8,2.25,2.4583333333333335,3.916666666666667,4.125,2.354166666666667,4.020833333333334,0.1,0.05,23,8580.77,1.165,100,1.0,4017.354517982851,0.02388513961717985,9.828626882457408e-05,0.022605841829652036,0.022605841829652036,0.0,0.0,2.361727836017593,4.012119449742099,-1.6503916137245052,-1.6503916137245052,1.0,True,True,1.0,1.0,0.11133333333333333,1.0,1.0,0.11133333333333333,1.0,1.0,0.11716666666666666
perfect-score-v2,0,9,2.25,2.4583333333333335,4.125,4.333333333333334,2.354166666666667,4.229166666666667,0.1,0.05,23,12423.46,1.25,100,1.0,5153.269328085662,0.02591280907132129,5.949957892395156e-05,0.013684903152508858,0.013684903152508858,0.0,0.0,2.361727836017593,4.22905183937645,-1.867324003358857,-1.867324003358857,1.0,True,True,1.0,1.0,0.09300000000000001,1.0,1.0,0.10300000000000001,1.0,1.0,0.1363333333333333
perfect-score-v2,0,10,2.25,2.4583333333333335,4.333333333333334,4.541666666666667,2.354166666666667,4.4375,0.1,0.05,23,21728.52,1.19,100,1.0,9545.391967909276,0.01854940289534267,3.736759504493388e-05,0.008594546860334791,0.008594546860334791,0.0,0.0,2.361727836017593,4.4312273126127,-2.069499476595107,-2.069499476595107,1.0,True,True,1.0,1.0,0.08583333333333332,1.0,1.0,0.1025,1.0,1.0,0.08583333333333332
perfect-score-v2,0,11,2.25,2.4583333333333335,4.541666666666667,4.75,2.354166666666667,4.645833333333334,0.1,0.05,23,36520.82,1.045,100,1.0,17675.48506607912,0.011902221651629004,2.3209321744891445e-05,0.005338144001325032,0.005338144001325032,0.0,0.0,2.361727836017593,4.638826596837322,-2.2770987608197286,-2.2770987608197286,1.0,True,True,1.0,1.0,0.08833333333333332,1.0,1.0,0.09333333333333332,1.0,1.0,0.09333333333333332
perfect-score-v2,1,0,2.4583333333333335,2.6666666666666665,2.25,2.4583333333333335,2.5625,2.354166666666667,0.1,0.05,37,151.52,1.38,100,2.0,57.06313303522717,0.19177939406839128,0.00441030931082519,1.6318144450053202,1.4760385957749902,1.0,0.88,2.568201724066995,2.3593506676408147,0.20885105642618076,0.1568402095397668,0.9988571428571429,True,False,0.19,0.17,0.0425,0.83,0.61,0.10805555555555553,1.0,1.0,0.09266666666666666
perfect-score-v2,1,1,2.4583333333333335,2.6666666666666665,2.4583333333333335,2.6666666666666665,2.5625,2.5625,0.1,0.05,37,253.5,1.22,100,2.0,111.24418710405648,0.12389660953473372,0.0027942467278266716,1.0338712892958684,0.9301760312051678,0.54,0.39,2.568201724066995,2.557712646408935,0.010489077658060182,-0.044713014621781004,1.0,True,True,0.65,0.49,0.0525,0.98,0.79,0.11416666666666667,1.0,1.0,0.091
