export_version,figure,panel,panel_title,plot_order,group,method,scenario,kappa,m,x,y,value,probability,count,style_key,label
tikz-v2,figure2,B,P-value floor versus BH threshold,1,bh_boundary,,baseline,,,2.25,2.25,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v2,figure2,B,P-value floor versus BH threshold,2,bh_boundary,,baseline,,,4.75,4.75,,,,diagonal_y_equals_x,$1/p=m/\alpha$
