summary_version,scenario,alpha,pi1,label,m,log10_neff_left,log10_neff_right,mean_neff,log10_mean_neff,power,discovery_probability,certified_no_rank_rate,mean_auroc,count
power-config-v2,alpha_010_pi1_001,0.1,0.01,"$\alpha=0.10,\ \pi_1=0.01$",50,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.07402949142341259,0.07402949142341259,0.931086367739994,0.9992630214890649,3323
power-config-v2,alpha_005_pi1_001,0.05,0.01,"$\alpha=0.05,\ \pi_1=0.01$",50,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.03581101414384592,0.03581101414384592,0.9644899187481192,0.9992630214890649,3323
power-config-v2,alpha_010_pi1_005,0.1,0.05,"$\alpha=0.10,\ \pi_1=0.05$",50,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.08320794462834788,0.1318086066807102,0.8760156485103822,0.9992852843815829,3323
power-config-v2,alpha_005_pi1_005,0.05,0.05,"$\alpha=0.05,\ \pi_1=0.05$",50,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.03806801083358411,0.06620523623232019,0.9349984953355401,0.9992852843815829,3323
power-config-v2,alpha_010_pi1_001,0.1,0.01,"$\alpha=0.10,\ \pi_1=0.01$",100,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.03490821546795065,0.03490821546795065,0.9668973818838399,0.9993221410615329,3323
power-config-v2,alpha_005_pi1_001,0.05,0.01,"$\alpha=0.05,\ \pi_1=0.01$",100,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.015949443274149863,0.015949443274149863,0.9855552211856756,0.9993221410615329,3323
power-config-v2,alpha_010_pi1_005,0.1,0.05,"$\alpha=0.10,\ \pi_1=0.05$",100,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.0609690039121276,0.15708696960577792,0.8546494131808606,0.9993316122083724,3323
power-config-v2,alpha_005_pi1_005,0.05,0.05,"$\alpha=0.05,\ \pi_1=0.05$",100,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.022931086367739995,0.07102016250376166,0.9304845019560638,0.9993316122083724,3323
power-config-v2,alpha_010_pi1_001,0.1,0.01,"$\alpha=0.10,\ \pi_1=0.01$",200,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.019861570869696057,0.034607282575985554,0.9684020463436653,0.9992947835259003,3323
power-config-v2,alpha_005_pi1_001,0.05,0.01,"$\alpha=0.05,\ \pi_1=0.01$",200,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.006169124285284382,0.012037315678603671,0.9885645501053265,0.9992947835259003,3323
power-config-v2,alpha_010_pi1_005,0.1,0.05,"$\alpha=0.10,\ \pi_1=0.05$",200,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.041318086066807105,0.1543785735780921,0.8549503460728257,0.9993442830669818,3323
power-config-v2,alpha_005_pi1_005,0.05,0.05,"$\alpha=0.05,\ \pi_1=0.05$",200,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.012669274751730367,0.07011736382786639,0.9319891664158892,0.9993442830669818,3323
power-config-v2,alpha_010_pi1_001,0.1,0.01,"$\alpha=0.10,\ \pi_1=0.01$",500,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.007523322299127295,0.027685826060788444,0.9756244357508276,0.9993501065424027,3323
power-config-v2,alpha_005_pi1_001,0.05,0.01,"$\alpha=0.05,\ \pi_1=0.01$",500,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.003009328919650918,0.012940114354498947,0.9873608185374662,0.9993501065424027,3323
power-config-v2,alpha_010_pi1_005,0.1,0.05,"$\alpha=0.10,\ \pi_1=0.05$",500,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.0255552211856756,0.1432440565753837,0.862473668371953,0.9993563203826602,3323
power-config-v2,alpha_005_pi1_005,0.05,0.05,"$\alpha=0.05,\ \pi_1=0.05$",500,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.0059103219981944035,0.05657538368943726,0.9446283478784231,0.9993563203826602,3323
power-config-v2,alpha_010_pi1_001,0.1,0.01,"$\alpha=0.10,\ \pi_1=0.01$",1000,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.0031898886548299725,0.024375564249172435,0.9777309659945832,0.99931271791037,3323
power-config-v2,alpha_005_pi1_001,0.05,0.01,"$\alpha=0.05,\ \pi_1=0.01$",1000,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.0010532651218778215,0.00842612097502257,0.9918748119169425,0.99931271791037,3323
power-config-v2,alpha_010_pi1_005,0.1,0.05,"$\alpha=0.10,\ \pi_1=0.05$",1000,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.020403250075233217,0.13391513692446586,0.8718025880228709,0.9993278109507893,3323
power-config-v2,alpha_005_pi1_005,0.05,0.05,"$\alpha=0.05,\ \pi_1=0.05$",1000,1.6,1.7000000000000002,45.34726171340664,1.6565510673903334,0.0028408065001504675,0.04664459825458923,0.9548600662052362,0.9993278109507893,3323
