summary_version,scenario,alpha,pi1,kappa,x_bin,y_bin,x_left,x_right,y_bottom,y_top,successes,count,probability
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,1,6,2.4583333333333335,2.6666666666666665,3.5,3.7083333333333335,24.0,25.0,0.96
split-v5:unweighted:bh,baseline,0.1,0.1,inf,1,7,2.4583333333333335,2.6666666666666665,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,1,7,2.4583333333333335,2.6666666666666665,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,1,8,2.4583333333333335,2.6666666666666665,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,1,8,2.4583333333333335,2.6666666666666665,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,1,9,2.4583333333333335,2.6666666666666665,4.125,4.333333333333334,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,1,9,2.4583333333333335,2.6666666666666665,4.125,4.333333333333334,23.0,25.0,0.92
split-v5:unweighted:bh,baseline,0.1,0.1,inf,1,10,2.4583333333333335,2.6666666666666665,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,1,10,2.4583333333333335,2.6666666666666665,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,1,11,2.4583333333333335,2.6666666666666665,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,1,11,2.4583333333333335,2.6666666666666665,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,0,2.6666666666666665,2.875,2.25,2.4583333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,0,2.6666666666666665,2.875,2.25,2.4583333333333335,22.0,25.0,0.88
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,1,2.6666666666666665,2.875,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,1,2.6666666666666665,2.875,2.4583333333333335,2.6666666666666665,22.0,25.0,0.88
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,2,2.6666666666666665,2.875,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,2,2.6666666666666665,2.875,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,3,2.6666666666666665,2.875,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,3,2.6666666666666665,2.875,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,4,2.6666666666666665,2.875,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,4,2.6666666666666665,2.875,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,5,2.6666666666666665,2.875,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,5,2.6666666666666665,2.875,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,6,2.6666666666666665,2.875,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,6,2.6666666666666665,2.875,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,7,2.6666666666666665,2.875,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,7,2.6666666666666665,2.875,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,8,2.6666666666666665,2.875,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,8,2.6666666666666665,2.875,3.916666666666667,4.125,24.0,25.0,0.96
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,9,2.6666666666666665,2.875,4.125,4.333333333333334,25.0,25.0,1.0
