summary_version,scenario,diagnostic,kappa,bin,x_left,x_right,x,successes,count,probability
split-v5:unweighted:bh,baseline,first_threshold,inf,25,1.1764705882352944,1.323529411764706,1.2493914907894565,710.0,1300.0,0.5461538461538461
split-v5:unweighted:bh,baseline,rank_aware,inf,23,0.8823529411764706,1.0294117647058822,0.9576086181277441,0.0,1400.0,0.0
split-v5:unweighted:bh,baseline,first_threshold,2.0,25,1.1764705882352944,1.323529411764706,1.2493914907894565,220.0,1300.0,0.16923076923076924
split-v5:unweighted:bh,baseline,rank_aware,2.0,23,0.8823529411764706,1.0294117647058822,0.9576086181277441,0.0,1400.0,0.0
split-v5:unweighted:bh,baseline,first_threshold,2.5,25,1.1764705882352944,1.323529411764706,1.2493914907894565,430.0,1300.0,0.33076923076923076
split-v5:unweighted:bh,baseline,rank_aware,2.5,23,0.8823529411764706,1.0294117647058822,0.9576086181277441,0.0,1400.0,0.0
split-v5:unweighted:bh,baseline,first_threshold,3.0,25,1.1764705882352944,1.323529411764706,1.2493914907894565,553.0,1300.0,0.42538461538461536
split-v5:unweighted:bh,baseline,rank_aware,3.0,23,0.8823529411764706,1.0294117647058822,0.9576086181277441,0.0,1400.0,0.0
split-v5:unweighted:bh,baseline,first_threshold,3.5,25,1.1764705882352944,1.323529411764706,1.2493914907894565,619.0,1300.0,0.47615384615384615
split-v5:unweighted:bh,baseline,rank_aware,3.5,23,0.8823529411764706,1.0294117647058822,0.9576086181277441,0.0,1400.0,0.0
split-v5:unweighted:bh,baseline,first_threshold,4.0,25,1.1764705882352944,1.323529411764706,1.2493914907894565,663.0,1300.0,0.51
split-v5:unweighted:bh,baseline,rank_aware,4.0,23,0.8823529411764706,1.0294117647058822,0.9576086181277441,0.0,1400.0,0.0
split-v5:unweighted:bh,baseline,first_threshold,inf,26,1.323529411764706,1.4705882352941178,1.3996014645880406,607.0,1200.0,0.5058333333333334
split-v5:unweighted:bh,baseline,first_threshold,2.0,26,1.323529411764706,1.4705882352941178,1.3996014645880406,150.0,1200.0,0.125
split-v5:unweighted:bh,baseline,first_threshold,2.5,26,1.323529411764706,1.4705882352941178,1.3996014645880406,328.0,1200.0,0.2733333333333333
split-v5:unweighted:bh,baseline,first_threshold,3.0,26,1.323529411764706,1.4705882352941178,1.3996014645880406,446.0,1200.0,0.37166666666666665
split-v5:unweighted:bh,baseline,first_threshold,3.5,26,1.323529411764706,1.4705882352941178,1.3996014645880406,521.0,1200.0,0.43416666666666665
split-v5:unweighted:bh,baseline,first_threshold,4.0,26,1.323529411764706,1.4705882352941178,1.3996014645880406,564.0,1200.0,0.47
split-v5:unweighted:bh,baseline,first_threshold,inf,27,1.4705882352941178,1.6176470588235299,1.5506928373824984,508.0,1100.0,0.4618181818181818
split-v5:unweighted:bh,baseline,first_threshold,2.0,27,1.4705882352941178,1.6176470588235299,1.5506928373824984,79.0,1100.0,0.07181818181818182
split-v5:unweighted:bh,baseline,first_threshold,2.5,27,1.4705882352941178,1.6176470588235299,1.5506928373824984,214.0,1100.0,0.19454545454545455
split-v5:unweighted:bh,baseline,first_threshold,3.0,27,1.4705882352941178,1.6176470588235299,1.5506928373824984,340.0,1100.0,0.3090909090909091
split-v5:unweighted:bh,baseline,first_threshold,3.5,27,1.4705882352941178,1.6176470588235299,1.5506928373824984,428.0,1100.0,0.3890909090909091
