export_version,figure,panel,panel_title,plot_order,group,method,scenario,kappa,m,x,y,x_left,x_right,value,probability,count,style_key,label
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,bh,baseline,inf,,1.2493914907894565,0.5461538461538461,1.1764705882352944,1.323529411764706,0.5461538461538461,0.5461538461538461,1300.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,bh,baseline,2.0,,1.2493914907894565,0.16923076923076924,1.1764705882352944,1.323529411764706,0.16923076923076924,0.16923076923076924,1300.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,bh,baseline,2.5,,1.2493914907894565,0.33076923076923076,1.1764705882352944,1.323529411764706,0.33076923076923076,0.33076923076923076,1300.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,bh,baseline,3.0,,1.2493914907894565,0.42538461538461536,1.1764705882352944,1.323529411764706,0.42538461538461536,0.42538461538461536,1300.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,bh,baseline,3.5,,1.2493914907894565,0.47615384615384615,1.1764705882352944,1.323529411764706,0.47615384615384615,0.47615384615384615,1300.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,bh,baseline,4.0,,1.2493914907894565,0.51,1.1764705882352944,1.323529411764706,0.51,0.51,1300.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,bh,baseline,inf,,1.3996014645880406,0.5058333333333334,1.323529411764706,1.4705882352941178,0.5058333333333334,0.5058333333333334,1200.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,bh,baseline,2.0,,1.3996014645880406,0.125,1.323529411764706,1.4705882352941178,0.125,0.125,1200.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,bh,baseline,2.5,,1.3996014645880406,0.2733333333333333,1.323529411764706,1.4705882352941178,0.2733333333333333,0.2733333333333333,1200.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,bh,baseline,3.0,,1.3996014645880406,0.37166666666666665,1.323529411764706,1.4705882352941178,0.37166666666666665,0.37166666666666665,1200.0,kappa_3.0,$\log_{10}\delta$
