export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,value,power,discovery_probability,fdr,median_log10_rank_delta,rank_delta_above_one_rate,mean_auroc,count,style_key,label
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,1.6,-1.8010299956639813,-1.451544993495972,1.5,1.7,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,1.3348882629249486,0.99,0.757607157894737,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,1.7999999999999998,-1.8010299956639813,-1.451544993495972,1.7,1.9,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,1.134060735938712,0.98,0.7590581052631579,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,2.0,-1.8010299956639813,-1.451544993495972,1.9,2.1,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.9014903193861986,0.92,0.7611357894736842,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,2.2,-1.8010299956639813,-1.451544993495972,2.1,2.3,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.7016928626714921,0.94,0.7568444210526316,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,2.4,-1.8010299956639813,-1.451544993495972,2.3,2.5,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.5016894462103995,0.9,0.7583347368421053,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,2.6,-1.8010299956639813,-1.451544993495972,2.5,2.7,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.3021170913051953,0.81,0.7592027368421053,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,2.8,-1.8010299956639813,-1.451544993495972,2.7,2.9,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.1270537072430182,0.79,0.7564501052631578,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,3.0,-1.8010299956639813,-1.451544993495972,2.9,3.1,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,-0.0834886893472372,0.3,0.7604404210526315,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,3.2,-1.8010299956639813,-1.451544993495972,3.1,3.3,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,-0.2972131959896414,0.0,0.7603696842105263,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,3.4,-1.8010299956639813,-1.451544993495972,3.3,3.5,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0002,0.0002,0.01,0.0,-0.4514026135974929,0.0,0.7613101052631579,100,finite_k1_alpha_sweep,statistical power
