summary_version,collection,sweep,score_regime,x_index,x_value,x_plot,x_left,x_right,log10_neff_bin,log10_neff_left,log10_neff_right,log10_neff_center,alpha,m,target_pi1,n_anomaly_fixed,count,mean_n_cal,mean_rho,mean_neff,log10_mean_neff,mean_n_anomaly,actual_pi1,discovery_probability,power,fdr,mean_log10_rank_delta,median_log10_rank_delta,rank_delta_above_one_rate,mean_auroc,perfect_separation_rate
operational-envelope-v4,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,0,1.3,1.5,1.4,0.1,50,0.05,,100,242.43,0.64,26.026507099006086,1.4154158873019245,2.0,0.039999999999999994,0.04,0.025,0.01,0.8377858186954477,0.9232202017920483,0.95,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,0,1.3,1.5,1.4,0.1,50,0.05,,100,242.43,0.64,26.026507099006086,1.4154158873019245,2.0,0.039999999999999994,0.01,0.005,0.01,0.8377858186954477,0.9232202017920483,0.95,0.7579166666666665,0.02
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,0,1.3,1.5,1.4,0.1,50,0.05,,100,242.43,0.64,26.026507099006086,1.4154158873019245,2.0,0.039999999999999994,0.03,0.015,0.005,0.8377858186954477,0.9232202017920483,0.95,0.9188541666666665,0.2
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,0,1.3,1.5,1.4,0.1,50,0.05,,100,242.43,0.64,26.026507099006086,1.4154158873019245,2.0,0.039999999999999994,0.03,0.015,0.006666666666666666,0.8377858186954477,0.9232202017920483,0.95,0.9860416666666667,0.53
operational-envelope-v4,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,1,1.5,1.7,1.6,0.1,50,0.05,,100,230.76,0.65,41.12999949592125,1.614158704186573,2.0,0.039999999999999994,0.1,0.065,0.016,0.6037930404304175,0.7304598636775768,0.89,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,1,1.5,1.7,1.6,0.1,50,0.05,,100,230.76,0.65,41.12999949592125,1.614158704186573,2.0,0.039999999999999994,0.0,0.0,0.02,0.6037930404304175,0.7304598636775768,0.89,0.7334375000000002,0.04
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,1,1.5,1.7,1.6,0.1,50,0.05,,100,230.76,0.65,41.12999949592125,1.614158704186573,2.0,0.039999999999999994,0.02,0.015,0.02,0.6037930404304175,0.7304598636775768,0.89,0.904375,0.15
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,1,1.5,1.7,1.6,0.1,50,0.05,,100,230.76,0.65,41.12999949592125,1.614158704186573,2.0,0.039999999999999994,0.06,0.04,0.026000000000000002,0.6037930404304175,0.7304598636775768,0.89,0.9751041666666667,0.41
operational-envelope-v4,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,2,1.7,1.9,1.7999999999999998,0.1,50,0.05,,100,345.22,0.74,64.50697091246532,1.8096066489799634,2.0,0.039999999999999994,0.18,0.13,0.036333333333333336,0.38735392239950733,0.5344774082995501,0.83,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,2,1.7,1.9,1.7999999999999998,0.1,50,0.05,,100,345.22,0.74,64.50697091246532,1.8096066489799634,2.0,0.039999999999999994,0.02,0.01,0.04,0.38735392239950733,0.5344774082995501,0.83,0.76625,0.01
