seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
3,satellite,hbos,empirical,2201,1585,2201,1585,1506,79,0.05,0.037,0.329,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49965901341213914,1585,2201,2198,972,1.0,0.0,1.0,1.0,2201.0,1.0,0.0,1.0,1.0,1585.0,,,,,0.0,,,,,0.0
3,satellite,hbos,empirical_randomized,2201,1585,2201,1585,1506,79,0.05,0.037,0.329,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49965901341213914,1585,2201,2198,972,1.0,0.0,1.0,1.0,2201.0,1.0,0.0,1.0,1.0,1585.0,,,,,0.0,,,,,0.0
3,satellite,hbos,empirical_randomized_weighted,2201,1585,2201,1585,1506,79,0.05,0.036,0.342,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49965901341213914,1585,2201,2198,972,1.0,0.0,1.0,1.0,2201.0,1.0,0.0,1.0,1.0,1585.0,0.9784114208916378,0.19654292750329233,0.6978351794067702,1.5028414806374963,2115.6288191805997,1.030238035674921,0.22673927272724076,0.6978351794067702,1.5028414806374963,1511.7740161058096
3,satellite,hbos,empirical_weighted,2201,1585,2201,1585,1506,79,0.05,0.037,0.329,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49965901341213914,1585,2201,2198,972,1.0,0.0,1.0,1.0,2201.0,1.0,0.0,1.0,1.0,1585.0,0.9784114208916378,0.19654292750329233,0.6978351794067702,1.5028414806374963,2115.6288191805997,1.030238035674921,0.22673927272724076,0.6978351794067702,1.5028414806374963,1511.7740161058096
3,satellite,hbos,probabilistic,2201,1585,2201,1585,1506,79,0.05,0.069,0.342,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49965901341213914,1585,2201,2198,972,1.0,0.0,1.0,1.0,2201.0,1.0,0.0,1.0,1.0,1585.0,,,,,0.0,,,,,0.0
3,satellite,hbos,probabilistic_weighted,2201,1585,2201,1585,1506,79,0.05,0.069,0.342,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49965901341213914,1585,2201,2198,972,1.0,0.0,1.0,1.0,2201.0,1.0,0.0,1.0,1.0,1585.0,0.9784114208916378,0.19654292750329233,0.6978351794067702,1.5028414806374963,2115.6288191805997,1.030238035674921,0.22673927272724076,0.6978351794067702,1.5028414806374963,1511.7740161058096
4,satellite,hbos,empirical,2209,1612,2209,1612,1531,81,0.05,0.0,0.123,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49784041827688114,1612,2209,2190,1033,1.0,0.0,1.0,1.0,2209.0,1.0,0.0,1.0,1.0,1612.0,,,,,0.0,,,,,0.0
4,satellite,hbos,empirical_randomized,2209,1612,2209,1612,1531,81,0.05,0.0,0.148,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49784041827688114,1612,2209,2190,1033,1.0,0.0,1.0,1.0,2209.0,1.0,0.0,1.0,1.0,1612.0,,,,,0.0,,,,,0.0
4,satellite,hbos,empirical_randomized_weighted,2209,1612,2209,1612,1531,81,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49784041827688114,1612,2209,2190,1033,1.0,0.0,1.0,1.0,2209.0,1.0,0.0,1.0,1.0,1612.0,0.9849359096151906,0.19304894471245732,0.7004387790597554,1.4696818718562277,2127.2772420522415,1.0307827177384117,0.2168616464882774,0.7004387790597554,1.4696818718562277,1543.6738738469471
4,satellite,hbos,empirical_weighted,2209,1612,2209,1612,1531,81,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49784041827688114,1612,2209,2190,1033,1.0,0.0,1.0,1.0,2209.0,1.0,0.0,1.0,1.0,1612.0,0.9849359096151906,0.19304894471245732,0.7004387790597554,1.4696818718562277,2127.2772420522415,1.0307827177384117,0.2168616464882774,0.7004387790597554,1.4696818718562277,1543.6738738469471
