seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
3,vowels,inne,empirical_weighted,711,360,711,360,342,18,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49431009957325744,360,711,695,26,1.0,0.0,1.0,1.0,711.0,1.0,0.0,1.0,1.0,360.0,0.993548866343372,0.2145125263283786,0.6859456284529661,1.5204007507874515,679.3328160241796,1.0509770903018625,0.24610925999206076,0.6859456284529661,1.5204007507874515,341.285131539644
3,vowels,inne,probabilistic,711,360,711,360,342,18,0.05,0.0,0.056,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49431009957325744,360,711,695,26,1.0,0.0,1.0,1.0,711.0,1.0,0.0,1.0,1.0,360.0,,,,,0.0,,,,,0.0
3,vowels,inne,probabilistic_weighted,711,360,711,360,342,18,0.05,0.0,0.111,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49431009957325744,360,711,695,26,1.0,0.0,1.0,1.0,711.0,1.0,0.0,1.0,1.0,360.0,0.993548866343372,0.2145125263283786,0.6859456284529661,1.5204007507874515,679.3328160241796,1.0509770903018625,0.24610925999206076,0.6859456284529661,1.5204007507874515,341.285131539644
4,vowels,inne,empirical,720,358,720,358,340,18,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4879089615931721,358,720,686,29,1.0,0.0,1.0,1.0,720.0,1.0,0.0,1.0,1.0,358.0,,,,,0.0,,,,,0.0
4,vowels,inne,empirical_randomized,720,358,720,358,340,18,0.05,0.0,0.167,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4879089615931721,358,720,686,29,1.0,0.0,1.0,1.0,720.0,1.0,0.0,1.0,1.0,358.0,,,,,0.0,,,,,0.0
4,vowels,inne,empirical_randomized_weighted,720,358,720,358,340,18,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4879089615931721,358,720,686,29,1.0,0.0,1.0,1.0,720.0,1.0,0.0,1.0,1.0,358.0,0.990186519475325,0.3051852294663523,0.6069777734152836,1.7577003028774036,657.5382663100514,1.091624971958402,0.3376724045887087,0.6069777734152836,1.7577003028774036,326.73621925212905
4,vowels,inne,empirical_weighted,720,358,720,358,340,18,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4879089615931721,358,720,686,29,1.0,0.0,1.0,1.0,720.0,1.0,0.0,1.0,1.0,358.0,0.990186519475325,0.3051852294663523,0.6069777734152836,1.7577003028774036,657.5382663100514,1.091624971958402,0.3376724045887087,0.6069777734152836,1.7577003028774036,326.73621925212905
4,vowels,inne,probabilistic,720,358,720,358,340,18,0.05,0.0,0.167,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4879089615931721,358,720,686,29,1.0,0.0,1.0,1.0,720.0,1.0,0.0,1.0,1.0,358.0,,,,,0.0,,,,,0.0
4,vowels,inne,probabilistic_weighted,720,358,720,358,340,18,0.05,0.0,0.167,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4879089615931721,358,720,686,29,1.0,0.0,1.0,1.0,720.0,1.0,0.0,1.0,1.0,358.0,0.990186519475325,0.3051852294663523,0.6069777734152836,1.7577003028774036,657.5382663100514,1.091624971958402,0.3376724045887087,0.6069777734152836,1.7577003028774036,326.73621925212905
5,vowels,inne,empirical,675,380,675,380,361,19,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5199146514935988,380,675,731,30,1.0,0.0,1.0,1.0,675.0,1.0,0.0,1.0,1.0,380.0,,,,,0.0,,,,,0.0
5,vowels,inne,empirical_randomized,675,380,675,380,361,19,0.05,0.0,0.053,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5199146514935988,380,675,731,30,1.0,0.0,1.0,1.0,675.0,1.0,0.0,1.0,1.0,380.0,,,,,0.0,,,,,0.0
5,vowels,inne,empirical_randomized_weighted,675,380,675,380,361,19,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5199146514935988,380,675,731,30,1.0,0.0,1.0,1.0,675.0,1.0,0.0,1.0,1.0,380.0,0.9981399321365626,0.1776602471826148,0.7213299301022414,1.387664518172912,654.2720648729795,1.0345554356637665,0.19039711626973752,0.7213299301022414,1.387664518172912,367.55110145838086
5,vowels,inne,empirical_weighted,675,380,675,380,361,19,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5199146514935988,380,675,731,30,1.0,0.0,1.0,1.0,675.0,1.0,0.0,1.0,1.0,380.0,0.9981399321365626,0.1776602471826148,0.7213299301022414,1.387664518172912,654.2720648729795,1.0345554356637665,0.19039711626973752,0.7213299301022414,1.387664518172912,367.55110145838086
5,vowels,inne,probabilistic,675,380,675,380,361,19,0.05,0.0,0.053,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5199146514935988,380,675,731,30,1.0,0.0,1.0,1.0,675.0,1.0,0.0,1.0,1.0,380.0,,,,,0.0,,,,,0.0
