seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
17,lymphography,iforest,probabilistic,71,37,71,37,35,2,0.054,0.0,0.0
17,lymphography,iforest,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
17,lymphography,iforest,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,1.0
18,lymphography,copod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
18,lymphography,copod,probabilistic,71,37,71,37,35,2,0.054,0.333,1.0
18,lymphography,copod,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
18,lymphography,copod,probabilistic_weighted,71,37,71,37,35,2,0.054,0.5,0.5
19,lymphography,ecod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
19,lymphography,ecod,probabilistic,71,37,71,37,35,2,0.054,0.5,0.5
19,lymphography,ecod,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
19,lymphography,ecod,probabilistic_weighted,71,37,71,37,35,2,0.054,0.5,0.5
20,lymphography,copod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
20,lymphography,copod,probabilistic,71,37,71,37,35,2,0.054,0.0,1.0
20,lymphography,copod,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
20,lymphography,copod,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,1.0
mean,lymphography,all_models,empirical,71,37,71,37,35,2,0.054,0.000±0.000,0.000±0.000
mean,lymphography,all_models,empirical_weighted,71,37,71,37,35,2,0.054,0.000±0.000,0.000±0.000
mean,lymphography,all_models,probabilistic,71,37,71,37,35,2,0.054,0.167±0.216,0.600±0.476
mean,lymphography,all_models,probabilistic_weighted,71,37,71,37,35,2,0.054,0.158±0.226,0.550±0.456
