export_version,figure,panel,panel_title,plot_order,point_index,group,metric,rho,clip_cap,clip_cap_label,x,y,value,count,style_key,label
tikz-v2,figure4,A,resolution,1,30,resolution,max_test_self_atom,3.0,13.0,c=13,1.1139433523068367,0.06632662933928253,0.06632662933928253,500,atom,mean max shifted-null self-atom
tikz-v2,figure4,A,resolution,1,31,resolution,max_test_self_atom,3.0,21.0,c=21,1.3222192947339193,0.09135061631918853,0.09135061631918853,500,atom,mean max shifted-null self-atom
tikz-v2,figure4,A,resolution,1,32,resolution,max_test_self_atom,3.0,34.0,c=34,1.5314789170422551,0.12664111691200697,0.12664111691200697,500,atom,mean max shifted-null self-atom
tikz-v2,figure4,A,resolution,1,33,resolution,max_test_self_atom,3.0,55.0,c=55,1.7403626894942439,0.17561475735667198,0.17561475735667198,500,atom,mean max shifted-null self-atom
tikz-v2,figure4,A,resolution,1,34,resolution,max_test_self_atom,3.0,89.0,c=89,1.9493900066449128,0.24148527258294336,0.24148527258294336,500,atom,mean max shifted-null self-atom
tikz-v2,figure4,A,resolution,1,35,resolution,max_test_self_atom,3.0,inf,unclipped,2.299390006644913,0.9994216231183226,0.9994216231183226,500,atom,mean max shifted-null self-atom
tikz-v2,figure4,A,resolution,2,0,resolution,calib_ess_fraction,0.5,1.0,c=1,0.0,0.9304577727378787,0.9304577727378787,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,1,resolution,calib_ess_fraction,0.5,1.5,c=1.5,0.17609125905568124,0.8651373248665012,0.8651373248665012,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,2,resolution,calib_ess_fraction,0.5,2.0,c=2,0.3010299956639812,0.8246677224584783,0.8246677224584783,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,3,resolution,calib_ess_fraction,0.5,3.0,c=3,0.47712125471966244,0.7915044850157792,0.7915044850157792,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,4,resolution,calib_ess_fraction,0.5,5.0,c=5,0.6989700043360189,0.7807783468061864,0.7807783468061864,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,5,resolution,calib_ess_fraction,0.5,8.0,c=8,0.9030899869919435,0.7797437649459573,0.7797437649459573,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,6,resolution,calib_ess_fraction,0.5,13.0,c=13,1.1139433523068367,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,7,resolution,calib_ess_fraction,0.5,21.0,c=21,1.3222192947339193,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,8,resolution,calib_ess_fraction,0.5,34.0,c=34,1.5314789170422551,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,9,resolution,calib_ess_fraction,0.5,55.0,c=55,1.7403626894942439,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,10,resolution,calib_ess_fraction,0.5,89.0,c=89,1.9493900066449128,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,11,resolution,calib_ess_fraction,0.5,inf,unclipped,2.299390006644913,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,12,resolution,calib_ess_fraction,1.5,1.0,c=1,0.0,0.6011293909211544,0.6011293909211544,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,13,resolution,calib_ess_fraction,1.5,1.5,c=1.5,0.17609125905568124,0.5229687449668706,0.5229687449668706,500,ess,mean calibration ESS / n
