summary_version,rho_order,rho,clip_order,clip_cap,clip_cap_label,plot_x,alpha,n_cal,m,n_seeds,tail_grid_size,tail_probability_min,tail_probability_max,bh_first_threshold,max_test_self_atom_mean,max_test_self_atom_median,test_self_atom_q50_mean,test_self_atom_q50_median,test_self_atom_q90_mean,test_self_atom_q90_median,test_self_atom_q95_mean,test_self_atom_q95_median,test_self_atom_q99_mean,test_self_atom_q99_median,max_calib_atom_mean,max_calib_atom_median,calib_ess_mean,calib_ess_median,calib_ess_fraction_mean,calib_ess_fraction_median,total_calib_weight_mean,total_calib_weight_median,max_test_self_atom_to_bh_threshold_mean,max_test_self_atom_to_bh_threshold_median,log10_inverse_max_test_self_atom_mean,log10_inverse_max_test_self_atom_median,sample_tail_bias_mean_mean,sample_tail_bias_mean_median,sample_tail_abs_bias_mean_mean,sample_tail_abs_bias_mean_median,sample_tail_bias_max_abs_mean,sample_tail_bias_max_abs_median,oracle_tail_mismatch_mean_abs_log10,oracle_tail_mismatch_max_abs_log10,oracle_tail_bias_mean,oracle_tail_abs_bias_mean,oracle_tail_bias_max_abs,oracle_tail_bias_signed_max,oracle_tail_bias_signed_min,clipped_target_normalizer,clipped_shift_tail_mass,clipped_reference_tail_mass,clipped_target_tv
clipping-frontier-v2,0,0.5,0,1.0,c=1,0.0,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.002486518301548675,0.002484371528946841,0.002486518301548675,0.002484371528946841,0.002486518301548675,0.002484371528946841,0.002486518301548675,0.002484371528946841,0.002486518301548675,0.002484371528946841,0.0024927173839719256,0.002490559002827385,465.2288863689394,465.09788241728734,0.9304577727378787,0.9301957648345747,401.2265195766888,401.51628582641433,24.86518301548675,24.84371528946841,2.6044395523961366,2.604783456536441,-0.025100214252464635,-0.025197939664227,0.025184409461935175,0.025231968785445022,0.12809181230312375,0.12837868179294404,0.5305388261598772,0.8157002517443694,-0.0250192534401175,0.0250192534401175,0.11897198144275911,-8.471379258057619e-05,-0.11897198144275911,0.8025873486341526,0.5987063256829237,0.4012936743170763,0.11927086865297255
clipping-frontier-v2,0,0.5,1,1.5,c=1.5,0.17609125905568124,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.0032200131893328206,0.003216940580545742,0.0024385254301346115,0.0024416896815573712,0.0032200131893328206,0.003216940580545742,0.0032200131893328206,0.003216940580545742,0.0032200131893328206,0.003216940580545742,0.0032304180630162503,0.00322732268586326,432.56866243325055,432.38001399763357,0.8651373248665012,0.8647600279952671,464.46498952837686,464.78153764525064,32.200131893328205,32.169405805457416,2.4922022499563585,2.492556960848261,-0.015386372817801664,-0.015312087967693403,0.015597445981776875,0.015425643173302535,0.07002433556005626,0.06996803367165065,0.4189621845500099,0.7031878639950698,-0.015250295257135721,0.015250295257135721,0.05618067926054471,-8.019329943593004e-05,-0.05618067926054471,0.9291186568712951,0.2874225551874696,0.1443608080391765,0.056196310450112724
clipping-frontier-v2,0,0.5,2,2.0,c=2,0.3010299956639812,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.0040941693977752346,0.004090489567059345,0.0023276867001915343,0.002328039160383313,0.004094088429064565,0.004090489567059345,0.0040941693977752346,0.004090489567059345,0.0040941693977752346,0.004090489567059345,0.004111006934491883,0.004107290395571503,412.3338612292392,412.3478272834998,0.8246677224584783,0.8246956545669994,486.6834551913545,486.9390297260528,40.94169397775235,40.90489567059345,2.3879159863622514,2.388224710687408,-0.008260276249090743,-0.008188715363221591,0.009634218981076482,0.00910147189241021,0.04394046097375483,0.04244807987259408,0.32055736938406165,0.5986750546986722,-0.008074239345900876,0.008074239345900876,0.0235075314547898,-7.480438605691064e-05,-0.0235075314547898,0.9738613007119891,0.12791669498124186,0.050888997846615415,0.023552052981862765
clipping-frontier-v2,0,0.5,3,3.0,c=3,0.47712125471966244,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.0059942204865833255,0.005991392343758234,0.002276418799369476,0.0022781006551512474,0.00430259941802773,0.00429343581641967,0.005145381427388219,0.005137918141067279,0.0059942204865833255,0.005991392343758234,0.006020918957920994,0.006020643631700778,395.75224250788955,395.7237194712528,0.7915044850157792,0.7914474389425057,497.7190911451092,497.7183359258977,59.94220486583325,59.913923437582326,2.2223701707605934,2.2224722401978365,-0.0022446212857288664,-0.0024390396954715125,0.007770716776487425,0.007098835557217355,0.037387199492586544,0.03503373325620096,0.18218700311932673,0.43227636650658235,-0.0020585991459692336,0.0020585991459692336,0.004067654932714618,-6.304070882528058e-05,-0.004067654932714618,0.9958402577659992,0.0257539081947159,0.007198055320238365,0.004070577796361503
clipping-frontier-v2,0,0.5,4,5.0,c=5,0.6989700043360189,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.009758951497922662,0.009838124109591943,0.002267531248481951,0.0022708200764724297,0.004285822841068386,0.004276373062516579,0.005125322907067914,0.0051157465475468195,0.007155975987457302,0.007132576847999259,0.008031042541380722,0.007881368166692819,390.3891734030932,390.6135199040329,0.7807783468061864,0.7812270398080658,499.6890153865997,499.4740745468835,97.58951497922662,98.38124109591942,2.010997134058676,2.0070877041438004,-0.0003564513008080861,-0.0007090570694021489,0.008322706384463361,0.0075678198620408536,0.03767460754340205,0.0356106842025428,0.05090662515945381,0.21215634606025158,-0.00015118182738845564,0.00015118182738845564,0.000187602086069262,-3.864589094561277e-05,-0.000187602086069262,0.999812145634098,0.0014944567644921448,0.00026132047971803694,0.0001876090404185119
clipping-frontier-v2,0,0.5,5,8.0,c=8,0.9030899869919435,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.01137598117284002,0.011059165167347403,0.0022670584216149536,0.002270383407279184,0.004284931932978411,0.004275102616764347,0.005124253755957072,0.00511221807814384,0.0071544837806343685,0.00713155929967141,0.008229042311083332,0.007881368166692819,389.87188247297865,390.35732236143116,0.7797437649459573,0.7807146447228623,499.7937108217051,499.513354303779,113.75981172840021,110.59165167347402,1.9497309200095791,1.9562776661372832,-0.0001925578322533599,-0.0005665601712683427,0.00843322712544806,0.007591821346068893,0.03771605936301856,0.035766852814787954,0.0025799467279517636,0.021360385669466277,-4.506424522669938e-06,4.506424522669938e-06,4.799415606565567e-06,-2.3999477981040407e-06,-4.799415606565567e-06,0.9999952001274428,4.636191124860612e-05,5.195254836424984e-06,4.7996730682832225e-06
clipping-frontier-v2,0,0.5,6,13.0,c=13,1.1139433523068367,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.011463105368559313,0.011059165167347403,0.0022670551234085057,0.002270383407279184,0.004284925770735107,0.004275102616764347,0.005124246460905467,0.00511221807814384,0.007154473715193822,0.00713155929967141,0.008230460850048953,0.007881368166692819,389.86673138480273,390.35732236143116,0.7797334627696054,0.7807146447228623,499.7944395680438,499.513354303779,114.63105368559313,110.59165167347402,1.9475157000054917,1.9562776661372832,-0.00019122475323505737,-0.0005665601712683427,0.008434489924244953,0.007591821346068893,0.037717351832083086,0.035766852814787954,2.455595492758664e-05,0.00020097993186880516,-4.3442182859725774e-08,4.3442182859725774e-08,4.626663320204136e-08,-2.3135630133896967e-08,-4.626663320204136e-08,0.9999999537287418,5.307016810777319e-07,3.726387868224287e-08,4.627123541940586e-08
clipping-frontier-v2,0,0.5,7,21.0,c=21,1.3222192947339193,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.011463105368559313,0.011059165167347403,0.0022670551234085057,0.002270383407279184,0.004284925770735107,0.004275102616764347,0.005124246460905467,0.00511221807814384,0.007154473715193822,0.00713155929967141,0.008230460850048953,0.007881368166692819,389.86673138480273,390.35732236143116,0.7797334627696054,0.7807146447228623,499.7944395680438,499.513354303779,114.63105368559313,110.59165167347402,1.9475157000054917,1.9562776661372832,-0.00019122475323505737,-0.0005665601712683427,0.008434489924244953,0.007591821346068893,0.037717351832083086,0.035766852814787954,1.0480520563802258e-07,8.576921942332065e-07,-1.8543445903704383e-10,1.8543445903704383e-10,1.9749073107118778e-10,-9.875522621882737e-11,-1.9749073107118778e-10,0.9999999998024895,2.625046418235375e-09,1.1559694911500752e-10,1.9751046912996978e-10
clipping-frontier-v2,0,0.5,8,34.0,c=34,1.5314789170422551,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.011463105368559313,0.011059165167347403,0.0022670551234085057,0.002270383407279184,0.004284925770735107,0.004275102616764347,0.005124246460905467,0.00511221807814384,0.007154473715193822,0.00713155929967141,0.008230460850048953,0.007881368166692819,389.86673138480273,390.35732236143116,0.7797334627696054,0.7807146447228623,499.7944395680438,499.513354303779,114.63105368559313,110.59165167347402,1.9475157000054917,1.9562776661372832,-0.00019122475323505737,-0.0005665601712683427,0.008434489924244953,0.007591821346068893,0.037717351832083086,0.035766852814787954,1.7989367922212472e-10,1.472260057319398e-09,-3.1829331312012257e-13,3.1829331312012257e-13,3.3900040706438123e-13,-1.6947554470903015e-13,-3.3900040706438123e-13,0.9999999999996609,5.133065859828764e-12,1.410027311072529e-13,3.3901726481714503e-13
clipping-frontier-v2,0,0.5,9,55.0,c=55,1.7403626894942439,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.011463105368559313,0.011059165167347403,0.0022670551234085057,0.002270383407279184,0.004284925770735107,0.004275102616764347,0.005124246460905467,0.00511221807814384,0.007154473715193822,0.00713155929967141,0.008230460850048953,0.007881368166692819,389.86673138480273,390.35732236143116,0.7797334627696054,0.7807146447228623,499.7944395680438,499.513354303779,114.63105368559313,110.59165167347402,1.9475157000054917,1.9562776661372832,-0.00019122475323505737,-0.0005665601712683427,0.008434489924244953,0.007591821346068893,0.037717351832083086,0.035766852814787954,1.3304464433244268e-13,1.1571929598654862e-12,-2.4483267111819267e-16,2.4483267111819267e-16,3.122502256758253e-16,-1.1102230246251565e-16,-3.122502256758253e-16,0.9999999999999998,4.09302078485097e-15,7.004298428095783e-17,0.0
