summary_version,base_seed,weighted_simulator_version,target_log10_neff,neff_band_lower,neff_band_upper,neff_half_width,rho,alpha,m,pi1,requested_trials,attempt_index,accepted_index,n_cal,calib_ess,log10_neff,n_anomaly,actual_pi1,rank_delta,log10_rank_delta,rank_delta_above_one,perfect_any_discovery,perfect_power,perfect_fdr,perfect_auroc,perfect_perfect_separation_rate,finite_k3_any_discovery,finite_k3_power,finite_k3_fdr,finite_k3_auroc,finite_k3_perfect_separation_rate,attempts_for_cell
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,33,17,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9817263157894736,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,37,18,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9946947368421053,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,38,19,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9898105263157895,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,39,20,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9898947368421053,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,43,21,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9712842105263157,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,44,22,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9674947368421053,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,45,23,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9923368421052633,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,49,24,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9845052631578949,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,50,25,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9779368421052632,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,51,26,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9873684210526315,0.0,200
