export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,value,power,discovery_probability,fdr,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,count,style_key,label
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,1.8000000000000003,-1.8010299956639813,-1.4515449934959719,1.7000000000000002,1.9000000000000001,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,1.134060735938712,0.98,0.7590581052631579,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,2.0,-1.8010299956639813,-1.4515449934959719,1.9000000000000001,2.1,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.9014903193861986,0.92,0.7611357894736842,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,2.2,-1.8010299956639813,-1.4515449934959719,2.1,2.3000000000000003,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.7052145562704798,0.92,0.7649389473684213,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,2.4000000000000004,-1.8010299956639813,-1.4515449934959719,2.3000000000000003,2.5,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.5016894462103995,0.93,0.7568275789473684,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,2.6,-1.8010299956639813,-1.4515449934959719,2.5,2.7,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.3147143488231103,0.89,0.7642073684210525,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,2.8000000000000003,-1.8010299956639813,-1.4515449934959719,2.7,2.9000000000000004,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,0.11451215881957791,0.77,0.7574797894736842,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,3.0000000000000004,-1.8010299956639813,-1.4515449934959719,2.9000000000000004,3.1000000000000005,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,-0.05163480398711937,0.35,0.7543713684210526,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,3.2000000000000006,-1.8010299956639813,-1.4515449934959719,3.1000000000000005,3.3000000000000007,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,-0.25133398612270336,0.0,0.7613250526315789,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,3.400000000000001,-1.8010299956639813,-1.4515449934959719,3.3000000000000007,3.500000000000001,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,-0.45140261359749295,0.0,0.761621052631579,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279623,3.6000000000000005,-1.8010299956639813,-1.4515449934959719,3.500000000000001,3.7,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,-0.5422027824340283,0.0,0.7577875789473684,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,1.4,-1.4515449934959719,-1.1505149978319906,1.3,1.5,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.0,1.2218487496163564,0.98,0.7539616842105262,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,1.6,-1.4515449934959719,-1.1505149978319906,1.5,1.7000000000000002,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.0,1.0338582672609673,0.95,0.7616442105263157,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,1.8000000000000003,-1.4515449934959719,-1.1505149978319906,1.7000000000000002,1.9000000000000001,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0002,0.0002,0.01,0.0,0.8101030815692856,0.96,0.7617345263157896,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,2.0,-1.4515449934959719,-1.1505149978319906,1.9000000000000001,2.1,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0002,0.0002,0.01,0.0,0.6430185990068689,0.94,0.7582185263157893,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,2.2,-1.4515449934959719,-1.1505149978319906,2.1,2.3000000000000003,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.0,0.4006628670075109,0.82,0.7543517894736841,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,2.4000000000000004,-1.4515449934959719,-1.1505149978319906,2.3000000000000003,2.5,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.0,0.20065945054641826,0.78,0.7576698947368422,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,2.6,-1.4515449934959719,-1.1505149978319906,2.5,2.7,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.0,0.013755479119465262,0.61,0.760818947368421,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,2.8000000000000003,-1.4515449934959719,-1.1505149978319906,2.7,2.9000000000000004,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0002,0.0002,0.01,0.0,-0.1625207782012036,0.12,0.7587599999999999,100,finite_k1_alpha_sweep,statistical power
