export_version,figure,panel,panel_title,plot_order,group,method,dataset,severity,x,y,x_left,x_right,y_bottom,y_top,value,power,fdr,approx_log10_rank_delta,certified_proxy_rate,count,style_key,label
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,vowels,0.0,3.417920471855208,2.1075852297475763,,,,,0.0,0.0,0.0,0.19809166479770077,1.0,25,severity_0,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical,wbc,0.0,2.5972585818008254,1.7255341201961805,,,,,0.0,0.0,0.0,0.582735665767223,1.0,25,severity_0,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized,wbc,0.0,2.5972585818008254,1.7255341201961805,,,,,0.1,0.1,0.11336,0.582735665767223,1.0,25,severity_0,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wbc,0.0,2.5972585818008254,1.4822130192947682,,,,,0.0,0.0,0.04,0.8260567666686353,1.0,25,severity_0,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wbc,0.0,2.5972585818008254,1.4822130192947682,,,,,0.0,0.0,0.0,0.8260567666686353,1.0,25,severity_0,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical,wdbc,0.0,2.817384671539814,1.9446745418731408,,,,,0.0,0.0,0.0,0.4217173754980241,1.0,25,severity_0,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized,wdbc,0.0,2.817384671539814,1.9446745418731408,,,,,0.08,0.08,0.17067999999999997,0.4217173754980241,1.0,25,severity_0,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wdbc,0.0,2.817384671539814,1.4337221897306731,,,,,0.0,0.0,0.04,0.9326697276404918,1.0,25,severity_0,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wdbc,0.0,2.817384671539814,1.4337221897306731,,,,,0.0,0.0,0.0,0.9326697276404918,1.0,25,severity_0,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,breastw,0.5,3.1170561921766398,1.494677807682022,,,,,0.011439999999999999,0.011439999999999999,0.04,0.8147705466735043,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,breastw,0.5,3.1170561921766398,1.494677807682022,,,,,0.0,0.0,0.0,0.8147705466735043,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,cardio,0.5,3.5102120965488712,2.1072375958033147,,,,,0.0074399999999999996,0.0074399999999999996,0.02,0.19786935193585356,1.0,25,severity_0.5,mean empirical power
