export_version,figure,panel,panel_title,plot_order,group,method,score_regime,alpha,m,pi1,x,y,x_left,x_right,y_bottom,y_top,status,value,required_log10_neff,required_neff,max_power,power_target,count,style_key,label
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,1000,0.01,3.0,-2.0,2.8494850021680094,3.1505149978319906,-2.1505149978319906,-1.8494850021680094,out_of_range,,,,0.001,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,1000,0.02,3.0,-1.6989700043360187,2.8494850021680094,3.1505149978319906,-1.8494850021680094,-1.5,out_of_range,,,,0.0005,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,1000,0.05,3.0,-1.3010299956639813,2.8494850021680094,3.1505149978319906,-1.5,-1.1505149978319906,out_of_range,,,,0.0018,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,1000,0.1,3.0,-1.0,2.8494850021680094,3.1505149978319906,-1.1505149978319906,-0.8494850021680094,out_of_range,,,,0.0026,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,1000,0.2,3.0,-0.6989700043360187,2.8494850021680094,3.1505149978319906,-0.8494850021680094,-0.5484550065040281,out_of_range,,,,0.0013,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,2000,0.005,3.3010299956639813,-2.3010299956639813,3.1505149978319906,3.451544993495972,-2.451544993495972,-2.1505149978319906,out_of_range,,,,0.0,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,2000,0.01,3.3010299956639813,-2.0,3.1505149978319906,3.451544993495972,-2.1505149978319906,-1.8494850021680094,out_of_range,,,,0.0,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,2000,0.02,3.3010299956639813,-1.6989700043360187,3.1505149978319906,3.451544993495972,-1.8494850021680094,-1.5,out_of_range,,,,0.00025,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,2000,0.05,3.3010299956639813,-1.3010299956639813,3.1505149978319906,3.451544993495972,-1.5,-1.1505149978319906,out_of_range,,,,0.0003,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
tikz-v1,figure5,required_ess_r2_c1,$\alpha=0.05$,3,heatmap_cell,weighted_wcs_homogeneous,finite_k1,0.05,2000,0.1,3.3010299956639813,-1.0,3.1505149978319906,3.451544993495972,-1.1505149978319906,-0.8494850021680094,out_of_range,,,,0.0007,0.8,1400,finite_k1_alpha_0.05,minimum log10 N_eff for target power
