summary_version,collection,sweep,score_regime,x_index,x_value,x_plot,x_left,x_right,log10_neff_bin,log10_neff_left,log10_neff_right,log10_neff_center,alpha,m,target_pi1,n_anomaly_fixed,count,mean_n_cal,mean_rho,mean_neff,log10_mean_neff,mean_n_anomaly,actual_pi1,discovery_probability,power,fdr,mean_log10_rank_delta,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,perfect_separation_rate
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,0,1.3,1.5,1.4,0.1,50,0.05,,100,122.23,0.635,25.87597058172422,1.412896648721268,2.0,0.039999999999999994,0.08,0.055,0.025,0.7699702695131317,0.9208187539523752,0.94,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,0,1.3,1.5,1.4,0.1,50,0.05,,100,122.23,0.635,25.87597058172422,1.412896648721268,2.0,0.039999999999999994,0.04,0.03,0.016666666666666666,0.7699702695131317,0.9208187539523752,0.94,0.9871875,0.66
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,1,1.5,1.7000000000000002,1.6,0.1,50,0.05,,100,317.85,0.735,41.00187682909404,1.6128037366676264,2.0,0.039999999999999994,0.13,0.09,0.003333333333333333,0.5610710911479297,0.7258421507363202,0.88,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,1,1.5,1.7000000000000002,1.6,0.1,50,0.05,,100,317.85,0.735,41.00187682909404,1.6128037366676264,2.0,0.039999999999999994,0.06,0.035,0.003333333333333333,0.5610710911479297,0.7258421507363202,0.88,0.9768750000000002,0.46
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,2,1.7000000000000002,1.9000000000000001,1.8000000000000003,0.1,50,0.05,,100,345.22,0.74,64.50697091246532,1.8096066489799634,2.0,0.039999999999999994,0.18,0.13,0.036333333333333336,0.38735392239950733,0.5344774082995501,0.83,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,2,1.7000000000000002,1.9000000000000001,1.8000000000000003,0.1,50,0.05,,100,345.22,0.74,64.50697091246532,1.8096066489799634,2.0,0.039999999999999994,0.13,0.085,0.021333333333333333,0.38735392239950733,0.5344774082995501,0.83,0.9885416666666665,0.43
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,3,1.9000000000000001,2.1,2.0,0.1,50,0.05,,100,550.62,0.725,102.74249729250695,2.011750117619334,2.0,0.039999999999999994,0.25,0.16,0.066,0.2478115045850916,0.3690307461526807,0.83,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,3,1.9000000000000001,2.1,2.0,0.1,50,0.05,,100,550.62,0.725,102.74249729250695,2.011750117619334,2.0,0.039999999999999994,0.13,0.075,0.040999999999999995,0.2478115045850916,0.3690307461526807,0.83,0.9840625,0.4
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,4,2.1,2.3000000000000003,2.2,0.1,50,0.05,,100,823.27,0.735,162.54738227096536,2.2109799798338123,2.0,0.039999999999999994,0.47,0.39,0.06033333333333333,0.003257157646262421,0.13548891894160814,0.66,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,4,2.1,2.3000000000000003,2.2,0.1,50,0.05,,100,823.27,0.735,162.54738227096536,2.2109799798338123,2.0,0.039999999999999994,0.31,0.25,0.055166666666666656,0.003257157646262421,0.13548891894160814,0.66,0.9861458333333334,0.33
