summary_version,score_regime,alpha,m,pi1,power_target,status,required_log10_neff,required_neff,max_power,min_certified_no_rank_rate,count
required-ess-v1,finite,0.1,500,0.2,0.8,attained,2.8094249444677892,644.7998747958028,0.8103999999999998,0.0,1200
required-ess-v1,finite,0.1,1000,0.005,0.8,out_of_range,,,0.12,0.09,1200
required-ess-v1,finite,0.1,1000,0.01,0.8,out_of_range,,,0.26,0.0,1200
required-ess-v1,finite,0.1,1000,0.02,0.8,out_of_range,,,0.415,0.0,1200
required-ess-v1,finite,0.1,1000,0.05,0.8,out_of_range,,,0.6055999999999999,0.0,1200
required-ess-v1,finite,0.1,1000,0.1,0.8,out_of_range,,,0.7115,0.0,1200
required-ess-v1,finite,0.1,1000,0.2,0.8,attained,2.8122772984320363,649.0487209808445,0.8135000000000001,0.0,1200
required-ess-v1,finite,0.1,2000,0.005,0.8,out_of_range,,,0.067,0.08,1200
required-ess-v1,finite,0.1,2000,0.01,0.8,out_of_range,,,0.24450000000000002,0.0,1200
required-ess-v1,finite,0.1,2000,0.02,0.8,out_of_range,,,0.40325000000000005,0.0,1200
required-ess-v1,finite,0.1,2000,0.05,0.8,out_of_range,,,0.6083000000000001,0.0,1200
required-ess-v1,finite,0.1,2000,0.1,0.8,out_of_range,,,0.7222999999999999,0.0,1200
required-ess-v1,finite,0.1,2000,0.2,0.8,attained,3.2042567077564343,1600.5037931834545,0.8147999999999999,0.0,1200
required-ess-v1,perfect,0.05,50,0.005,0.8,attained,3.2108210572215357,1624.8791172784272,0.99,0.01,1200
required-ess-v1,perfect,0.05,50,0.01,0.8,attained,3.2076611661052272,1613.0995353725043,0.97,0.03,1200
required-ess-v1,perfect,0.05,50,0.02,0.8,attained,3.209523629132581,1620.0321343574753,1.0,0.0,1200
required-ess-v1,perfect,0.05,50,0.05,0.8,attained,2.81085969028147,646.9335738750285,1.0,0.0,1200
required-ess-v1,perfect,0.05,50,0.1,0.8,attained,2.612241508315428,409.4883101925752,1.0,0.0,1200
required-ess-v1,perfect,0.05,50,0.2,0.8,attained,2.4108861838843594,257.5646065655266,1.0,0.0,1200
required-ess-v1,perfect,0.05,100,0.005,0.8,attained,3.4069980583789805,2552.6898902034955,0.94,0.06,1200
required-ess-v1,perfect,0.05,100,0.01,0.8,attained,3.4097518468795265,2568.92749439911,0.98,0.02,1200
required-ess-v1,perfect,0.05,100,0.02,0.8,attained,3.2081627719301746,1614.963725711695,1.0,0.0,1200
required-ess-v1,perfect,0.05,100,0.05,0.8,attained,2.8097208770031816,645.2393975087832,1.0,0.0,1200
required-ess-v1,perfect,0.05,100,0.1,0.8,attained,2.6090846778554293,406.5225843857451,0.9990000000000001,0.0,1200
required-ess-v1,perfect,0.05,100,0.2,0.8,attained,2.210624082104822,162.414231725912,1.0,0.0,1200
required-ess-v1,perfect,0.05,200,0.005,0.8,out_of_range,,,0.43,0.61,1200
required-ess-v1,perfect,0.05,200,0.01,0.8,attained,3.559601228985108,3627.4482798584136,0.93,0.05,1200
required-ess-v1,perfect,0.05,200,0.02,0.8,attained,3.208618021236531,1616.6574994617145,0.99,0.0,1200
required-ess-v1,perfect,0.05,200,0.05,0.8,attained,2.8051083919509754,638.422804951123,1.0,0.0,1200
required-ess-v1,perfect,0.05,200,0.1,0.8,attained,2.60639516990999,404.01284204111346,1.0,0.0,1200
required-ess-v1,perfect,0.05,200,0.2,0.8,attained,2.212110132897893,162.97092588146225,1.0,0.0,1200
required-ess-v1,perfect,0.05,500,0.005,0.8,out_of_range,,,0.185,0.83,1200
required-ess-v1,perfect,0.05,500,0.01,0.8,attained,3.5591643554345658,3623.801124600792,0.9259999999999999,0.06,1200
required-ess-v1,perfect,0.05,500,0.02,0.8,attained,3.2128909873113427,1632.6420853473066,0.9940000000000001,0.0,1200
required-ess-v1,perfect,0.05,500,0.05,0.8,attained,3.0082926207998626,1019.2779301956933,0.9960000000000001,0.0,1200
required-ess-v1,perfect,0.05,500,0.1,0.8,attained,2.6067172600829163,404.3125852747721,1.0,0.0,1200
required-ess-v1,perfect,0.05,500,0.2,0.8,attained,2.2097829500960433,162.09997583120375,1.0,0.0,1200
required-ess-v1,perfect,0.05,1000,0.005,0.8,out_of_range,,,0.374,0.76,1200
required-ess-v1,perfect,0.05,1000,0.01,0.8,attained,3.5588427239726754,3621.11838967639,0.919,0.09,1200
required-ess-v1,perfect,0.05,1000,0.02,0.8,attained,3.409219338155699,2565.7795428788677,0.9954999999999999,0.0,1200
required-ess-v1,perfect,0.05,1000,0.05,0.8,attained,2.811717994818978,648.2133853812412,0.9994,0.0,1200
required-ess-v1,perfect,0.05,1000,0.1,0.8,attained,2.6091211461276913,406.5567220489388,1.0,0.0,1200
required-ess-v1,perfect,0.05,1000,0.2,0.8,attained,2.2107113472618236,162.44686978155465,1.0,0.0,1200
required-ess-v1,perfect,0.05,2000,0.005,0.8,out_of_range,,,0.37,0.84,1200
required-ess-v1,perfect,0.05,2000,0.01,0.8,attained,3.558436858587957,3617.735891985834,0.9059999999999999,0.05,1200
required-ess-v1,perfect,0.05,2000,0.02,0.8,attained,3.2057812280475764,1606.131974611109,0.993,0.0,1200
required-ess-v1,perfect,0.05,2000,0.05,0.8,attained,2.8032190012217457,635.651390304556,0.9989,0.0,1200
required-ess-v1,perfect,0.05,2000,0.1,0.8,attained,2.60999897026823,407.3793118882773,1.0,0.0,1200
required-ess-v1,perfect,0.05,2000,0.2,0.8,attained,2.210913986519598,162.52268422402665,1.0,0.0,1200
required-ess-v1,perfect,0.1,50,0.005,0.8,attained,3.003751395581396,1008.6753219167208,1.0,0.0,1200
required-ess-v1,perfect,0.1,50,0.01,0.8,attained,2.8024281387293297,634.4949045227584,1.0,0.0,1200
required-ess-v1,perfect,0.1,50,0.02,0.8,attained,2.8087968867865247,643.8680673559921,1.0,0.0,1200
required-ess-v1,perfect,0.1,50,0.05,0.8,attained,2.6062928204425457,403.91764021648305,1.0,0.0,1200
required-ess-v1,perfect,0.1,50,0.1,0.8,attained,2.2119679894209283,162.9175946408792,1.0,0.0,1200
required-ess-v1,perfect,0.1,50,0.2,0.8,attained,2.0109492675949356,102.55321210222763,1.0,0.0,1200
required-ess-v1,perfect,0.1,100,0.005,0.8,attained,3.210143424255504,1622.3457830020118,0.99,0.01,1200
